monhas,minhas
simb,sim
foo,foi
msm,mesmo
dinhwiro,dinheiro
maia,mais
enviala,envia-la
fazrr,fazer
reded,redes
exttato,extrato
maqmaqu,maquina
miderninho,moderninho
wi-fi,wifi
descarrrdes,descarregou
pag seguro, pagseguro
nan, não
ka,cá
maquiminha,maquininha
mudsr,mudar
awui,aqui
ligat,ligar
possesso,processo
atendimenti,atendimento
ainfa,ainda
aim,sim
credto,crédito
sil, sim
imail,email
porfavor, por favor
cartac,cartão
mamã,mãos
wifii,wifi
aki, aqui
fwito,feito
porq,porque
nunume,número
maquimá,máquina
tifo,tudo
mesmcom, mês com
bco,banco
smasmartphone,smartphone
oq,o que
oj,ok
extraro,extrato
tq,ta
ben,bem
prepago,pré pago
f8co,faço
igualmwnre,igualmente
entendir,entendi
tou,estou
simm,sim
pagto,pagamento
issi,isso
olanao,olá não
poufo,pouco
empreae,empresa
entede,entende
pide,pode
aprece,aparece
melhir,melhor
comco,conta
maquuna,máquina
obgd,obrigado
favaor,favor
pqloma,paloma
trm,tem
descontontou,descontou
prossedimento,procedimento
tx,taxa
duvidú,dúvida
oie,oi
porep,porém
sucessp,sucesso
papar,para
nna,não
ook,ok
refceição,refeição
vizvisualiza,vizualizando
conseguinho,conseguindo
primerpr,primeira
hummmm,hum
hummmmmmmmmmmmmmmmmm,hum
euu,eu
oytra,outra
diarariamente,diariamente
duminydia,dimuir a
comsigo,consigo
simmmm,sim
ontemn,ontem
estav,esta
des,desde
quw,que
cnconsi,consegui
incluaive,inclusive
chegoy,chegou
igualmwnre,igualmente
wifie,wifi
eatou,estou
aguatdem,aguardem
coprado,cobrado
dano,dando
resilve,resolve
ancelar,cancelar
cellular,celular
manada,mandar
prossedimento,procedimento
algima,alguma
enforma,informa
imagen,imagem
baias,baixas
mei,meu
fotfo,foto
oferra,oferta
teasnferir,transferir
verde,verdade
vendaa,venda
wnvida,enviada
wff,wifi
carto,cartao
tbn,tambem
mina,minha
fzr,faz
contqto,contato
agira,agora
coprado,cobrado
devitd,debito
oago,pago
condigo,consigo
joaJ,joão
joaj,joão
cellular,celular
fuciona,funciona
tetira-lo,retirá-lo
manada,mais
estavelecimento,estabelecimento
tebtt,tentei
regustrando,registrando
gavoeb,favor
mesesdr,meses
tenteten,tentando
rezponder,responder
tava,estava
ms,mais
tebtt,tentei
rogado,obrigado
aplicatibo,aplicativo
ila,olá
onriobri,obrigado
pbg,obrigado
apara,para
obh,obrigado
atentamente,atendente
msis,mais
fizica,física
etendi,entendi
tendi,entendi
ol,olá
oqie,que
din,dinheiro
printp,print
chata,chat
intao,então
flei,falei
reaponderei,responderei
imjustisa,injustiça
comsegi,conseguir
oioi,oi
qdo,quando
ja,já
ola,olá
gentilza,gentileza
náo,não
aplicarivo,aplicativo
nao,não
sao,são
vvs,vocês
nwgociar,negociar
ultimo,último
mes,mês
avista, a vista
negociaçao,negociação
informaçao,informação
divida,dívida
ate,até
entao,então
so,só
ultima,última
ta,está
vo,vou
debito,débito
desconheco,desconheço
faco,faço
ola,olá
debito,débito
qunto,quanto
noity,noite
todad,todas
sao,são
recufe,recife
obrgado,obrigado
tard, tarde
noa,não
tambpem,também
locacao,locação
presciso,preciso
obrigadoo,obrigado
onrigada,obrigada
ubrr,uber
infomrações,informações
